city,state
San Francisco,California
Menlo Park,California
Cupertino,California
San Mateo,California
San Jose,California
Sunnyvale,California
Fremont,California
New York,New York
Palo Alto,California
Mountain View,California
Alameda,California
Florida,New York
Miami,Florida
Los Angeles,California
Brooklyn,New York
Red Bank,New Jersey
Oakland,California
Costa Mesa,California
Walnut,California
Santa Clara,California
Holmdel,New Jersey
Manhattan,New York
Chappaqua,New York
Los Gatos,California
Berkeley,California
South San Francisco,California
Los Altos,California
Staten Island,New York
Redwood City,California
Newport Beach,California
Venice,California
Irvine,California
San Rafael,California
Burlingame,California
Vallejo,California
Iselin,New Jersey
Pompton Lakes,New Jersey
Milpitas,California
Livermore,California
West Hollywood,California
Jersey City,New Jersey
Livingston,New Jersey
Emeryville,California
Sausalito,California
Ojai,California
Sun Valley,California
Pasadena,California
Fort Lauderdale,Florida
Santa Monica,California
San Carlos,California
Beverly Hills,California
Piedmont,California
Mill Valley,California
South Pasadena,California
Boulder Creek,California
Long Island City,New York
Santa Cruz,California
Arcadia,California
San Bruno,California
Miami Lakes,Florida
Gardena,California
Covina,California
Weston,Florida
Glendale,California
New Milford,New Jersey
Franklin Lakes,New Jersey
Aliso Viejo,California
Larkspur,California
Boca Raton,Florida
Melville,New York
Laguna Niguel,California
Monmouth Junction,New Jersey
Manalapan,New Jersey
Anaheim,California
Culver City,California
Queens,New York
Montclair,New Jersey
Torrance,California
San Ramon,California
New City,New York
Dublin,California
Laguna Beach,California
North Hollywood,California
Castro Valley,California
Walnut Creek,California
Stanford,California
El Segundo,California
Skillman,New Jersey
Los Alamitos,California
Topanga,California
Pleasanton,California
Danville,California
Teaneck,New Jersey
San Anselmo,California
Hoboken,New Jersey
Sonoma,California
Newark,California
Long Beach,California
Ridgewood,New Jersey
Purdys,New York
Agoura Hills,California
Burbank,California
