city,state
New York,New York
West Palm Beach,Florida
San Francisco,California
Fremont,California
Palo Alto,California
Irvine,California
San Jose,California
Pearl River,New York
San Mateo,California
Los Angeles,California
Menlo Park,California
Miami,Florida
Hoboken,New Jersey
Sunnyvale,California
Burlingame,California
Glendale,California
Coral Gables,Florida
Berkeley,California
Hawthorne,New York
Santa Monica,California
Iselin,New Jersey
Sausalito,California
Aventura,Florida
New City,New York
Holmdel,New Jersey
El Segundo,California
Manhattan,New York
Jersey City,New Jersey
Walnut,California
Santa Ana,California
Westbury,New York
Oakland,California
Los Altos,California
Mill Valley,California
Sherman Oaks,California
Pasadena,California
Brooklyn,New York
Santa Clara,California
Mountain View,California
Hollywood,Florida
Montclair,New Jersey
Pleasanton,California
Burbank,California
Beverly Hills,California
West Hollywood,California
Woodland Hills,California
Manhattan Beach,California
Newark,New Jersey
Bernardsville,New Jersey
Larchmont,New York
Miami Beach,Florida
Madison,New Jersey
Concord,California
Covina,California
Ontario,California
Long Beach,California
Walnut Creek,California
Woodcliff Lake,New Jersey
Costa Mesa,California
Thousand Oaks,California
East Palo Alto,California
Lyndhurst,New Jersey
Playa Vista,California
Scarsdale,New York
Boca Raton,Florida
Dania,Florida
Brea,California
Tenafly,New Jersey
Pacific Palisades,California
Berkeley Heights,New Jersey
Nyack,New York
Staten Island,New York
Venice,California
Laguna Beach,California
Great Neck,New York
Pleasant Hill,California
Gilroy,California
Mission Viejo,California
Cupertino,California
Anaheim,California
North Hollywood,California
Santa Rosa,California
Fort Lauderdale,Florida
Harrington Park,New Jersey
Hayward,California
Sunrise,Florida
Peekskill,New York
Morristown,New Jersey
