Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Equity Only Funding,Organization Revenue Range,Organization Website,Diversity Spotlight,Number of Partner Investors,Number of Investors
Seed Round - Leap Financial,https://www.crunchbase.com/funding_round/leap-financial-seed--2048734b,"Miami, Florida, United States, North America",Leap Financial,https://www.crunchbase.com/organization/leap-financial,Seed,3500000,USD,3500000,2024-12-17,Yes,,https://www.leapfinancial.com,,1,2
Seed Round - HIFI,https://www.crunchbase.com/funding_round/hifi-bridge-seed--5cdde8e4,"New York, New York, United States, North America",HIFI,https://www.crunchbase.com/organization/hifi-bridge,Seed,6000000,USD,6000000,2024-12-10,Yes,$1M to $10M,http://Hifibridge.com,,,10
Seed Round - RAI Partners,https://www.crunchbase.com/funding_round/rai-partners-seed--95c62dce,"Los Angeles, California, United States, North America",RAI Partners,https://www.crunchbase.com/organization/rai-partners,Seed,5549990,USD,5549990,2024-12-06,Yes,,https://www.raipartners.com,,,
Seed Round - Concentro,https://www.crunchbase.com/funding_round/concentro-seed--919e8d4d,"New York, New York, United States, North America",Concentro,https://www.crunchbase.com/organization/concentro,Seed,3000000,USD,3000000,2024-12-05,Yes,,https://concentro.io/,,1,9
Seed Round - OpenYield,https://www.crunchbase.com/funding_round/openyield-seed--0a87e66d,"New York, New York, United States, North America",OpenYield,https://www.crunchbase.com/organization/openyield,Seed,7000000,USD,7000000,2024-11-21,Yes,,http://openyld.com,,2,3
Seed Round - StoreCash,https://www.crunchbase.com/funding_round/storecash-seed--7d661b6c,"San Jose, California, United States, North America",StoreCash,https://www.crunchbase.com/organization/storecash,Seed,3700000,USD,3700000,2024-11-19,Yes,Less than $1M,https://www.storecashapp.com/,"Black Founded, Black Led, South Asian Founded, South Asian Led, Women Founded",3,7
Seed Round - Zeplyn,https://www.crunchbase.com/funding_round/zeplyn-seed--5970fef5,"New York, New York, United States, North America",Zeplyn,https://www.crunchbase.com/organization/zeplyn,Seed,3000000,USD,3000000,2024-11-13,Yes,$1M to $10M,https://zeplyn.ai,,2,2
Seed Round - Wahed,https://www.crunchbase.com/funding_round/wahed-invest-inc-seed--6a59b0d8,"New York, New York, United States, North America",Wahed,https://www.crunchbase.com/organization/wahed-invest-inc,Seed,500000,USD,500000,2024-11-13,Yes,$1M to $10M,https://www.wahed.com,,,1
Seed Round - Provenance Blockchain Labs (ProvLabs),https://www.crunchbase.com/funding_round/provlabs-seed--dd90f82d,"San Francisco, California, United States, North America",Provenance Blockchain Labs (ProvLabs),https://www.crunchbase.com/organization/provlabs,Seed,17650200,USD,17650200,2024-11-08,Yes,$1M to $10M,https://provlabs.io/,,1,11
Seed Round - needyou by Socialneed Inc.,https://www.crunchbase.com/funding_round/socialneed-seed--5ca3a5d9,"Miami, Florida, United States, North America",needyou by Socialneed Inc.,https://www.crunchbase.com/organization/socialneed,Seed,50000,USD,50000,2024-11-01,Yes,Less than $1M,https://www.needyou.app,,,3
